1000 5000
663 664 4
664 665 11
665 666 17
666 667 17
667 668 31
668 669 12
669 670 35
670 671 27
671 672 36
672 673 27
673 674 6
674 675 15
675 676 27
676 677 0
677 678 35
678 679 37
679 680 27
680 681 48
681 682 5
682 683 42
683 684 45
684 685 42
685 686 29
686 687 29
687 688 39
688 689 16
689 690 12
690 691 37
691 692 6
692 693 40
693 694 18
694 695 10
695 696 3
696 697 35
697 698 29
698 699 34
699 700 47
700 701 17
701 702 11
702 703 36
703 704 44
704 705 19
705 706 1
706 707 23
707 708 22
708 709 39
709 710 10
710 711 49
711 712 37
712 713 18
713 714 43
714 715 34
715 716 10
716 717 25
717 718 13
718 719 49
719 720 41
720 721 25
721 722 38
722 723 47
723 724 17
724 725 7
725 726 9
726 727 20
727 728 44
728 729 38
729 730 4
730 731 44
731 732 5
732 733 17
733 734 30
734 735 1
735 736 37
736 737 33
737 738 26
738 739 9
739 740 22
740 741 39
741 742 10
742 743 12
743 744 7
744 745 5
745 746 46
746 747 19
747 748 30
748 749 12
749 750 21
750 751 23
751 752 39
752 753 9
753 754 22
754 755 9
755 756 16
756 757 31
757 758 29
758 759 13
759 760 20
760 761 36
761 762 7
762 763 27
763 764 5
764 765 39
765 766 31
766 767 42
767 768 22
768 769 7
769 770 3
770 771 47
771 772 46
772 773 15
773 774 9
774 775 5
775 776 21
776 777 7
777 778 25
778 779 3
779 780 21
780 781 48
781 782 27
782 783 11
783 784 7
784 785 1
785 786 22
786 787 26
787 788 33
788 789 1
789 790 39
790 791 5
791 792 39
792 793 48
793 794 32
794 795 47
795 796 39
796 797 15
797 798 41
798 799 13
799 800 23
800 801 45
801 802 10
802 803 21
803 804 12
804 805 21
805 806 29
806 807 35
807 808 29
808 809 6
809 810 39
810 811 0
811 812 4
812 813 18
813 814 13
814 815 11
815 816 19
816 817 35
817 818 37
818 819 4
819 820 39
820 821 28
821 822 9
822 823 30
823 824 28
824 825 44
825 826 27
826 827 17
827 828 9
828 829 19
829 830 31
830 831 34
831 832 16
832 833 43
833 834 6
834 835 28
835 836 15
836 837 37
837 838 14
838 839 44
839 840 43
840 841 5
841 842 46
842 843 49
843 844 23
844 845 12
845 846 12
846 847 44
847 848 47
848 849 0
849 850 49
850 851 38
851 852 30
852 853 10
853 854 19
854 855 9
855 856 4
856 857 48
857 858 26
858 859 14
859 860 17
860 861 9
861 862 48
862 863 33
863 864 3
864 865 6
865 866 14
866 867 18
867 868 43
868 869 28
869 870 14
870 871 38
871 872 33
872 873 10
873 874 37
874 875 8
875 876 22
876 877 0
877 878 4
878 879 22
879 880 2
880 881 5
881 882 10
882 883 34
883 884 16
884 885 31
885 886 43
886 887 20
887 888 30
888 889 22
889 890 36
890 891 47
891 892 31
892 893 35
893 894 33
894 895 34
895 896 43
896 897 47
897 898 2
898 899 37
899 900 27
900 901 18
901 902 27
902 903 12
903 904 29
904 905 17
905 906 22
906 907 3
907 908 19
908 909 26
909 910 27
910 911 21
911 912 34
912 913 40
913 914 5
914 915 0
915 916 21
916 917 1
917 918 20
918 919 3
919 920 23
920 921 7
921 922 3
922 923 4
923 924 44
924 925 38
925 926 41
926 927 37
927 928 37
928 929 45
929 930 26
930 931 14
931 932 14
932 933 4
933 934 28
934 935 45
935 936 21
936 937 0
937 938 0
938 939 42
939 940 28
940 941 28
941 942 13
942 943 12
943 944 20
944 945 20
945 946 14
946 947 43
947 948 23
948 949 35
949 950 47
950 951 46
951 952 44
952 953 0
953 954 3
954 955 38
955 956 38
956 957 46
957 958 27
958 959 25
959 960 41
960 961 4
961 962 41
962 963 5
963 964 10
964 965 19
965 966 2
966 967 33
967 968 21
968 969 3
969 970 25
970 971 1
971 972 33
972 973 40
973 974 16
974 975 3
975 976 12
976 977 32
977 978 46
978 979 36
979 980 19
980 981 43
981 982 34
982 983 13
983 984 45
984 985 39
985 986 3
986 987 35
987 988 35
988 989 33
989 990 12
990 991 27
991 992 37
992 993 3
993 994 34
994 995 49
995 996 24
996 997 37
997 998 32
998 999 47
999 0 40
